source,target
1710706,2104552
1710706,2109551
1710904,1715705
1710904,1718881
1710904,1721307
1711100,1716653
1711100,1716703
1711100,1718402
1711506,1715754
1711506,1716604
1711506,1720259
1711506,1720978
1711506,5213087
1711506,5213772
1711803,1716653
1711902,1717503
1711902,1718899
1711902,5105309
1711902,5107776
1711902,5107859
1711951,1715101
1711951,1717909
1711951,1719004
1712009,1713205
1712009,1721000
1712009,1721109
1712157,2928901
1712157,5204904
1712405,1715101
1712405,1718501
1712405,1718758
1712405,1720150
1712405,2100501
1712405,2101400
1712454,1712801
1712454,1714302
1712454,1721208
1712504,1717503
1712702,1715101
1712702,1717909
1712702,1718659
1712702,1720150
1712702,2100501
1712702,2201309
1712702,2911105
1712801,1720101
1712801,1721208
1712801,2109551
1713205,1713304
1713205,1716109
1713205,1718204
1713205,1718709
1713205,1721000
1713205,1721109
1713304,1716703
1713304,1718709
1713601,1717909
1713601,1718204
1713601,1719004
1713601,1720655
1713601,1721000
1713700,1716109
1713809,1720002
1713809,2104057
1713957,1718865
1714203,1716208
1714203,1717008
1714203,1720499
1714302,1720002
1714302,1721208
1714880,1715705
1714880,1716307
1715002,1715507
1715002,1716109
1715002,1717503
1715002,1718204
1715002,1718451
1715101,1717909
1715101,1718758
1715101,1719004
1715101,1720150
1715101,1721000
1715150,5204904
1715259,1717800
1715259,2903201
1715507,1718204
1715705,1721307
1715754,1716208
1715754,1720259
1715754,5213087
1716109,1717503
1716109,1718204
1716109,1718451
1716208,1716604
1716208,1720259
1716208,1720499
1716208,5205307
1716208,5213087
1716505,1718709
1716505,1718758
1716505,1721109
1716505,1721257
1716604,1720259
1716604,1720499
1716604,1720853
1716604,1720978
1716653,1716703
1717008,1717909
1717008,1718907
1717008,1720655
1717206,1718550
1717206,1722081
1717206,1722107
1717503,5107776
1717800,1720903
1717800,1720937
1717800,2903201
1717800,2919553
1717909,1718659
1717909,1719004
1717909,1720655
1718006,1718659
1718204,1718451
1718204,1720655
1718204,1721000
1718303,1718808
1718303,1720200
1718303,1720804
1718303,2105302
1718402,1721307
1718501,2101400
1718550,1722107
1718659,2911105
1718709,1721109
1718709,1721257
1718758,1721109
1718808,2103257
1718808,2105302
1718808,2112852
1718840,5220207
1718881,1721257
1718907,1720499
1718907,1720655
1719004,1721000
1720150,2100501
1720200,1720804
1720200,2104552
1720200,2105302
1720309,2111532
1720309,2112852
1720903,2919553
1720978,5213772
1720978,5218003
1721208,2102556
1721208,2109007
1721208,2109551
2100055,2100600
2100055,2102002
2100055,2102036
2100055,2103257
2100055,2105427
2100055,2105500
2100055,2110856
2100105,2100303
2100105,2103208
2100105,2103307
2100105,2103406
2100154,2100907
2100154,2110237
2100154,2110609
2100154,2112506
2100204,2101350
2100204,2101905
2100204,2108405
2100303,2103000
2100303,2103208
2100303,2103307
2100303,2103406
2100402,2102150
2100402,2109908
2100402,2110005
2100402,2113009
2100436,2101202
2100436,2103604
2100436,2108454
2100436,2111409
2100436,2111508
2100477,2102002
2100477,2102325
2100477,2110005
2100477,2112274
2100501,2101400
2100501,2112001
2100501,2201309
2100501,2204402
2100501,2209203
2100550,2102606
2100550,2102903
2100550,2104305
2100550,2105658
2100550,2106201
2100550,2106326
2100600,2100956
2100600,2102036
2100600,2102325
2100600,2102358
2100600,2104800
2100600,2105500
2100600,2107001
2100600,2110005
2100600,2111763
2100600,2111805
2100709,2101004
2100709,2102408
2100709,2105401
2100709,2106755
2100709,2110203
2100709,2111003
2100709,2112803
2100808,2102101
2100808,2102200
2100808,2106409
2100808,2106672
2100808,2110104
2100808,2112605
2100832,2101301
2100832,2103703
2100873,2107357
2100873,2108256
2100873,2109809
2100873,2114007
2100907,2106300
2100907,2110237
2100907,2110609
2100907,2112506
