code_muni,name,state,lat,lon
1100700,Campo Novo de Rondônia,RO,-10.49845695,-63.76481194834053
5102637,Campo Novo do Parecis,MT,-13.6581783,-57.88660413889721
2402105,Campo Redondo,RN,-6.2383115,-36.20041043000988
3111507,Campos Altos,MG,-19.610630999999998,-46.19538721686194
5204904,Campos Belos,GO,-12.965388349999998,-46.19980207400508
4304101,Campos Borges,RS,-28.908569999999997,-53.04577318598487
5102686,Campos de Júlio,MT,-13.5754838,-59.22725903040357
3509700,Campos do Jordão,SP,-22.69341585,-45.51921697986503
3301009,Campos dos Goytacazes,RJ,-21.64994655,-41.32608604697637
3111606,Campos Gerais,MG,-21.289662999999997,-45.72624623837209
1703842,Campos Lindos,TO,-8.21350785,-46.7708925141227
4203600,Campos Novos,SC,-27.4197778,-51.282823548057806
3509809,Campos Novos Paulista,SP,-22.63721865,-49.990844170030634
2302701,Campos Sales,CE,-6.943875650000001,-40.245897762178686
5204953,Campos Verdes,GO,-14.19994255,-49.63885166006354
5102678,Campo Verde,MT,-15.424947099999999,-55.01537953576785
2603603,Camutanga,PE,-7.44472775,-35.30781575950011
3111705,Canaã,MG,-20.6704225,-42.620383866555464
1502152,Canaã dos Carajás,PA,-6.4816574,-50.03170435984846
5102694,Canabrava do Norte,MT,-11.231803,-51.79879508859229
3509908,Cananéia,SP,-25.03323465,-48.06123112662227
2701605,Canapi,AL,-9.124680649999998,-37.53709570887839
2906105,Canápolis,BA,-13.099779299999998,-44.216346917853635
3111804,Canápolis,MG,-18.757452,-49.244841497653226
2906204,Canarana,BA,-11.761911399999999,-41.707910587740166
5102702,Canarana,MT,-13.192940449999998,-52.62625532454342
3509957,Canas,SP,-22.742961949999998,-45.04322115852602
3111903,Cana Verde,MG,-21.030699499999997,-45.18663329078333
2202251,Canavieira,PI,-7.611175399999999,-43.60760548079725
2906303,Canavieiras,BA,-15.610923849999999,-39.08188117581386
2906402,Candeal,BA,-11.87951485,-39.185804007252884
3112000,Candeias,MG,-20.748993,-45.277197001138944
2906501,Candeias,BA,-12.6901827,-38.492517651448935
1100809,Candeias do Jamari,RO,-8.96449335,-63.53791812123093
4304200,Candelária,RS,-29.711707500000003,-52.81074327240019
2906600,Candiba,BA,-14.4292819,-42.8460308615518
4104402,Cândido de Abreu,PR,-24.6821962,-51.256808630529456
4304309,Cândido Godói,RS,-27.925667799999996,-54.71407807637353
2102606,Cândido Mendes,MA,-1.7236336499999998,-45.7752495433298
3510005,Cândido Mota,SP,-22.8092526,-50.42673611787514
3510104,Cândido Rodrigues,SP,-21.3402865,-48.62430072402307
2906709,Cândido Sales,BA,-15.332607,-41.280664900000005
4304358,Candiota,RS,-31.587307850000002,-53.71434624174038
4104428,Candói,PR,-25.5235141,-52.01135052932917
4304408,Canela,RS,-29.344636799999996,-50.76037356112067
4203709,Canelinha,SC,-27.24643425,-48.78436769892021
2402204,Canguaretama,RN,-6.41745845,-35.155045621960525
4304507,Canguçu,RS,-31.2767432,-52.67952475298282
2801108,Canhoba,SE,-10.15006825,-37.02342446712125
2603702,Canhotinho,PE,-8.872551300000001,-36.152928083380026
2302800,Canindé,CE,-4.40357775,-39.42361609796683
2801207,Canindé de São Francisco,SE,-9.729203199999999,-37.88113960163912
3510153,Canitar,SP,-23.02199815,-49.78921367897581
4304606,Canoas,RS,-29.91564785,-51.17744017572821
4203808,Canoinhas,SC,-26.3056969,-50.60909369343024
2906808,Cansanção,BA,-10.769504399999999,-39.57531939559763
1400175,Cantá,RR,2.29539665,-60.536611023222164
3112059,Cantagalo,MG,-18.5094675,-42.64469903446934
4104451,Cantagalo,PR,-25.305649199999998,-52.10898705879353
3301108,Cantagalo,RJ,-21.86739765,-42.30623674471843
2102705,Cantanhede,MA,-3.6503641499999997,-44.30444553725884
2202307,Canto do Buriti,PI,-8.31613275,-43.3765271772493
2906824,Canudos,BA,-10.003241500000001,-39.02052040954685
4304614,Canudos do Vale,RS,-29.323956449999997,-52.2334351978404
1300904,Canutama,AM,-7.455803400000001,-63.902752860424314
4104501,Capanema,PR,-25.60692205,-53.70551035992609
1502202,Capanema,PA,-1.188281,-47.12824401820618
4203253,Capão Alto,SC,-28.06473665,-50.656135202910036
3510203,Capão Bonito,SP,-24.053553049999998,-48.16095735851225
